,movie_title,year,place,star_cast,rating,director
46,Modern Times,1936-01-01,47," Charles Chaplin,  Paulette Goddard",8.449139760949484,Charles Chaplin
47,Once Upon a Time in the West,1968-01-01,48," Henry Fonda,  Charles Bronson",8.446689919810433,Sergio Leone
48,Rear Window,1954-01-01,49," James Stewart,  Grace Kelly",8.43719246405381,Alfred Hitchcock
49,Alien,1979-01-01,50," Sigourney Weaver,  Tom Skerritt",8.435138798085054,Ridley Scott
50,City Lights,1931-01-01,51," Charles Chaplin,  Virginia Cherrill",8.434323320145417,Charles Chaplin
51,Nuovo Cinema Paradiso,1988-01-01,52," Philippe Noiret,  Enzo Cannavale",8.431034500156027,Giuseppe Tornatore
52,Apocalypse Now,1979-01-01,53," Martin Sheen,  Marlon Brando",8.424912088293567,Francis Ford Coppola
53,Memento,2000-01-01,54," Guy Pearce,  Carrie-Anne Moss",8.42452278059411,Christopher Nolan
54,Raiders of the Lost Ark,1981-01-01,55," Harrison Ford,  Karen Allen",8.410977240032084,Steven Spielberg
55,Django Unchained,2012-01-01,56," Jamie Foxx,  Christoph Waltz",8.40409559901202,Quentin Tarantino
56,Top Gun: Maverick,2022-01-01,57," Tom Cruise,  Jennifer Connelly",8.401476345526977,Joseph Kosinski
57,WALL·E,2008-01-01,58," Ben Burtt,  Elissa Knight",8.393322591722617,Andrew Stanton
58,The Lives of Others,2006-01-01,59," Ulrich Mühe,  Martina Gedeck",8.385815284051272,Florian Henckel von Donnersmarck
59,Sunset Blvd,1950-01-01,60," William Holden,  Gloria Swanson",8.382983961508112,Billy Wilder
60,Paths of Glory,1957-01-01,61," Kirk Douglas,  Ralph Meeker",8.371879033938148,Stanley Kubrick
61,The Shining,1980-01-01,62," Jack Nicholson,  Shelley Duvall",8.36711685598822,Stanley Kubrick
62,The Great Dictator,1940-01-01,63," Charles Chaplin,  Paulette Goddard",8.365952048161306,Charles Chaplin
63,Witness for the Prosecution,1957-01-01,64," Tyrone Power,  Marlene Dietrich",8.359166453151833,Billy Wilder
64,Avengers: Infinity War,2018-01-01,65," Robert Downey Jr.,  Chris Hemsworth",8.358299263895798,Anthony Russo
65,Aliens,1986-01-01,66," Sigourney Weaver,  Michael Biehn",8.344671812964757,James Cameron
66,American Beauty,1999-01-01,67," Kevin Spacey,  Annette Bening",8.335953713205804,Sam Mendes
67,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-01,68," Peter Sellers,  George C. Scott",8.332271465322489,Stanley Kubrick
68,Spider-Man: Into the Spider-Verse,2018-01-01,69," Shameik Moore,  Jake Johnson",8.330702239680875,Bob Persichetti
69,The Dark Knight Rises,2012-01-01,70," Christian Bale,  Tom Hardy",8.328124277083644,Christopher Nolan
70,Oldeuboi,2003-01-01,71," Choi Min-sik,  Yoo Ji-tae",8.32008603722536,Park Chan-wook
71,Joker,2019-01-01,72," Joaquin Phoenix,  Robert De Niro",8.317924640495391,Todd Phillips
72,Amadeus,1984-01-01,73," F. Murray Abraham,  Tom Hulce",8.316007217236805,Milos Forman
73,Braveheart,1995-01-01,74," Mel Gibson,  Sophie Marceau",8.315503819728649,Mel Gibson
74,Toy Story,1995-01-01,75," Tom Hanks,  Tim Allen",8.315031763578787,John Lasseter
75,Coco,2017-01-01,76," Anthony Gonzalez,  Gael García Bernal",8.312964107478756,Lee Unkrich
76,Inglourious Basterds,2009-01-01,77," Brad Pitt,  Diane Kruger",8.312723646180846,Quentin Tarantino
77,Das Boot,1981-01-01,78," Jürgen Prochnow,  Herbert Grönemeyer",8.312552208120211,Wolfgang Petersen
78,Mononoke-hime,1997-01-01,79," Yôji Matsuda,  Yuriko Ishida",8.303482592919947,Hayao Miyazaki
79,Avengers: Endgame,2019-01-01,80," Robert Downey Jr.,  Chris Evans",8.301872096178498,Anthony Russo
80,Once Upon a Time in America,1984-01-01,81," Robert De Niro,  James Woods",8.298330297470674,Sergio Leone
81,Good Will Hunting,1997-01-01,82," Robin Williams,  Matt Damon",8.287880331489852,Gus Van Sant
82,Kimi no na wa,2016-01-01,83," Ryûnosuke Kamiki,  Mone Kamishiraishi",8.277571028104393,Makoto Shinkai
83,Requiem for a Dream,2000-01-01,84," Ellen Burstyn,  Jared Leto",8.275701472957364,Darren Aronofsky
84,Toy Story 3,2010-01-01,85," Tom Hanks,  Tim Allen",8.275675252800868,Lee Unkrich
85,Singin' in the Rain,1952-01-01,86," Gene Kelly,  Donald O'Connor",8.273443228999211,Stanley Donen
86,3 Idiots,2009-01-01,87," Aamir Khan,  Madhavan",8.270576528242687,Rajkumar Hirani
87,Star Wars: Episode VI - Return of the Jedi,1983-01-01,88," Mark Hamill,  Harrison Ford",8.267109429704876,Richard Marquand
88,Tengoku to jigoku,1963-01-01,89," Toshirô Mifune,  Yutaka Sada",8.266293748242044,Akira Kurosawa
89,2001: A Space Odyssey,1968-01-01,90," Keir Dullea,  Gary Lockwood",8.264106331070638,Stanley Kubrick
90,Eternal Sunshine of the Spotless Mind,2004-01-01,91," Jim Carrey,  Kate Winslet",8.263422628055793,Michel Gondry
91,Reservoir Dogs,1992-01-01,92," Harvey Keitel,  Tim Roth",8.26318726160971,Quentin Tarantino
92,Capharnaüm,2018-01-01,93," Zain Al Rafeea,  Yordanos Shiferaw",8.259747092573008,Nadine Labaki
93,Lawrence of Arabia,1962-01-01,94," Peter O'Toole,  Alec Guinness",8.25630456209276,David Lean
94,Citizen Kane,1941-01-01,95," Orson Welles,  Joseph Cotten",8.256166241627179,Orson Welles
95,Jagten,2012-01-01,96," Mads Mikkelsen,  Thomas Bo Larsen",8.255933797547163,Thomas Vinterberg
96,M - Eine Stadt sucht einen Mörder,1931-01-01,97," Peter Lorre,  Ellen Widmann",8.254336030773567,Fritz Lang
97,North by Northwest,1959-01-01,98," Cary Grant,  Eva Marie Saint",8.252162497159055,Alfred Hitchcock
98,Idi i smotri,1985-01-01,99," Aleksey Kravchenko,  Olga Mironova",8.247246826027947,Elem Klimov
99, Vertigo,1958-01-01,10," James Stewart,  Kim Novak",8.246796993018028,Alfred Hitchcock
100,Le fabuleux destin d'Amélie Poulain,2001-01-01,101," Audrey Tautou,  Mathieu Kassovitz",8.244287608201747,Jean-Pierre Jeunet
101,A Clockwork Orange,1971-01-01,102," Malcolm McDowell,  Patrick Magee",8.243142427824914,Stanley Kubrick
102,Double Indemnity,1944-01-01,103," Fred MacMurray,  Barbara Stanwyck",8.23959598611696,Billy Wilder
